Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,FileName,ra,de,decimal_date,helio_corr
WD0024-556,0,26,40.74,-,55,24,44.1,WD0024m556_a_2000_08_03T09_18_47_all.dat.gz,0.4446369333333333,55.41299,2000.5874316939892,19.136205764488974
WD0024-556,0,26,40.74,-,55,24,44.1,WD0024m556_b_2000_08_05T08_30_01_all.dat.gz,0.44462626666666666,55.41301,2000.5928961748634,19.004812744111288
WD0027-636,0,29,56.73,-,63,24,58.0,WD0027m636_a_2002_07_27T05_54_09_all.dat.gz,0.4990505333333333,63.41565,2002.5671232876712,16.914100510488353
WD0027-636,0,29,56.73,-,63,24,58.0,WD0027m636_b_2002_08_15T09_37_17_all.dat.gz,0.4990160666666667,63.41602,2002.6191780821919,16.55860913961275
WD0028-474,0,30,47.17,-,47,12,36.4,WD0028m474_a_2001_10_30T05_04_34_all.dat.gz,0.5130984,47.2097,2001.827397260274,-5.1707259688837715
WD0028-474,0,30,47.17,-,47,12,36.4,WD0028m474_b_2001_12_29T00_55_21_all.dat.gz,0.5131000666666666,47.20971,2001.9917808219177,-21.675454356852242
WD0029-181,0,32,30.41,-,17,53,22.6,WD0029m181_a_2002_09_26T08_24_43_all.dat.gz,0.5417618666666667,17.88998,2002.7342465753425,2.4289574033315837
WD0029-181,0,32,30.41,-,17,53,22.6,WD0029m181_b_2002_09_27T06_13_51_all.dat.gz,0.5417575333333333,17.88985,2002.7369863013698,1.9398245943922947
WD0032-175,0,35,17.51,-,17,18,51.6,WD0032m175_a_2002_09_18T03_21_12_all.dat.gz,0.5882176666666666,17.31392,2002.7123287671234,6.202601899291789
WD0032-175,0,35,17.51,-,17,18,51.6,WD0032m175_b_2002_09_25T06_31_43_all.dat.gz,0.5882208666666667,17.31409,2002.731506849315,2.8225562946649156
WD0032-177,0,35,25.30,-,17,30,40.9,WD0032m177_a_2002_09_18T03_30_10_all.dat.gz,0.5903217333333333,17.51162,2002.7123287671234,6.239330714658446
WD0032-177,0,35,25.30,-,17,30,40.9,WD0032m177_b_2002_09_25T06_02_02_all.dat.gz,0.5902985333333334,17.51155,2002.731506849315,2.8630321294710535
WD0032-317,0,34,49.86,-,31,29,52.7,WD0032m317_a_2000_09_16T03_47_45_all.dat.gz,0.5805056000000001,31.49861,2000.707650273224,9.190188002598987
WD0032-317,0,34,49.86,-,31,29,52.7,WD0032m317_b_2000_09_17T02_44_05_all.dat.gz,0.5805120666666667,31.49881,2000.7103825136612,8.772748126544391
WD0033+016,0,35,35.84,+,1,53,8.6,WD0033p016_a_2002_09_18T06_41_32_all.dat.gz,0.5932694000000001,1.8856,2002.7123287671234,3.2202930239493437
WD0033+016,0,35,35.84,+,1,53,8.6,WD0033p016_b_2002_09_26T07_57_22_all.dat.gz,0.5932255333333334,1.88565,2002.7342465753425,-0.8395502145390522
WD0037-006,0,40,22.88,-,0,21,30.1,WD0037m006_a_2002_12_02T01_23_02_all.dat.gz,0.6730036666666667,0.35851,2002.9178082191781,-28.267187818662592
WD0037-006,0,40,22.88,-,0,21,30.1,WD0037m006_b_2003_01_16T00_57_31_all.dat.gz,0.6729869999999999,0.35808,2003.041095890411,-27.83282276730839
WD0037-006,0,40,22.88,-,0,21,30.1,WD0037m006_b_2003_09_07T05_17_40_all.dat.gz,0.6729780000000001,0.35812,2003.682191780822,8.531084642712026
WD0047-524,0,50,3.65,-,52,8,15.5,WD0047m524_a_2002_07_27T06_21_48_all.dat.gz,0.8343440666666667,52.13775,2002.5671232876712,20.39157709116716
WD0047-524,0,50,3.65,-,52,8,15.5,WD0047m524_b_2002_09_14T03_12_36_all.dat.gz,0.8343467333333333,52.13776,2002.7013698630137,12.250122946609054
WD0048-544,0,51,9.23,-,54,11,21.9,WD0048m544_a_2002_07_27T06_30_20_all.dat.gz,0.8525937333333334,54.18963,2002.5671232876712,19.823616838875644
WD0048-544,0,51,9.23,-,54,11,21.9,WD0048m544_b_2002_09_14T03_21_21_all.dat.gz,0.8525702000000001,54.18939,2002.7013698630137,12.363287343143025
WD0048+202,0,51,11.01,+,20,31,22.3,WD0048p202_a_2002_09_19T04_52_51_all.dat.gz,0.8531166,20.52368,2002.7150684931507,6.424112714880989
WD0048+202,0,51,11.01,+,20,31,22.3,WD0048p202_a_2002_12_02T02_09_16_all.dat.gz,0.8530533333333333,20.52311,2002.9178082191781,-25.03270280481167
WD0048+202,0,51,11.01,+,20,31,22.3,WD0048p202_b_2002_09_27T05_16_58_all.dat.gz,0.8530001333333334,20.52351,2002.7369863013698,2.6168545106330066
WD0050-332,0,53,17.43,-,32,59,56.5,WD0050m332_a_2001_09_11T03_46_03_all.dat.gz,0.888199,32.99887,2001.6931506849314,11.641207296662397
WD0050-332,0,53,17.43,-,32,59,56.5,WD0050m332_a_2002_07_27T06_44_39_all.dat.gz,0.8882010666666668,32.99887,2002.5671232876712,24.381648394431462
WD0050-332,0,53,17.43,-,32,59,56.5,WD0050m332_a_2002_09_15T03_27_05_all.dat.gz,0.8881334,32.99907,2002.704109589041,10.127130748306564
WD0050-332,0,53,17.43,-,32,59,56.5,WD0050m332_b_2002_09_25T06_49_59_all.dat.gz,0.8881283999999999,32.99903,2002.731506849315,5.939824325777199
WD0052-147,0,54,55.80,-,14,26,7.8,WD0052m147_a_2002_09_26T08_54_17_all.dat.gz,0.9154874,14.43583,2002.7342465753425,1.8984047875365548
WD0052-147,0,54,55.80,-,14,26,7.8,WD0052m147_b_2002_09_27T06_41_53_all.dat.gz,0.9154838666666667,14.43565,2002.7369863013698,1.4012319372048125
WD0053-117,0,55,50.34,-,11,27,31.5,WD0053m117_a_2002_09_26T09_08_08_all.dat.gz,0.9306615333333333,11.45865,2002.7342465753425,1.2961394428026634
