# wdid:USNO-B1.0 1068-00000833,resolution:nan,source:/home/bergeron/SPY/HS0002+1635_an,wavelength_min: 3290.10,wavelength_max: 6641.90
wavelength,flux
3361.90,7.77953e-12
3362.00,8.82964e-12
3362.10,7.84229e-12
3362.20,8.25452e-12
3362.30,7.67768e-12
3362.40,7.21616e-12
3362.50,7.24450e-12
3362.60,8.02189e-12
3362.70,7.85452e-12
3362.80,7.92138e-12
3362.90,6.99725e-12
3363.00,8.01701e-12
3363.10,8.50983e-12
3363.20,8.78350e-12
3363.30,8.23691e-12
3363.40,8.41928e-12
3363.50,8.72054e-12
3363.60,8.28102e-12
3363.70,7.76673e-12
3363.80,7.87438e-12
3363.90,8.03866e-12
3364.00,7.91608e-12
3364.10,7.86635e-12
3364.20,7.76866e-12
3364.30,7.43877e-12
3364.40,7.18850e-12
3364.50,8.00226e-12
3364.60,7.14216e-12
3364.70,7.31856e-12
3364.80,8.33603e-12
3364.90,8.19074e-12
3365.00,7.47246e-12
3365.10,8.68087e-12
3365.20,7.51868e-12
3365.30,7.74881e-12
3365.40,8.10061e-12
3365.50,8.04631e-12
3365.60,7.46114e-12
3365.70,7.71475e-12
3365.80,8.41996e-12
3365.90,7.78331e-12
3366.00,7.91227e-12
3366.10,7.63986e-12
3366.20,7.11116e-12
3366.30,6.65950e-12
3366.40,6.57560e-12
3366.50,7.03152e-12
3366.60,8.14949e-12
3366.70,8.16472e-12
3366.80,7.15453e-12
3366.90,7.83672e-12
3367.00,7.17504e-12
3367.10,7.70983e-12
3367.20,7.13013e-12
3367.30,7.73192e-12
3367.40,7.25580e-12
3367.50,8.20718e-12
3367.60,7.98183e-12
3367.70,7.41106e-12
3367.80,7.22196e-12
3367.90,8.06233e-12
3368.00,7.41730e-12
3368.10,8.09545e-12
3368.20,7.17183e-12
3368.30,7.87843e-12
3368.40,8.35198e-12
3368.50,8.05991e-12
3368.60,8.28560e-12
3368.70,8.15247e-12
3368.80,7.98752e-12
3368.90,7.42959e-12
3369.00,6.66526e-12
3369.10,8.43686e-12
3369.20,7.59752e-12
3369.30,8.41362e-12
3369.40,8.39632e-12
3369.50,7.52427e-12
3369.60,7.36337e-12
3369.70,6.80628e-12
3369.80,7.41652e-12
3369.90,8.60337e-12
3370.00,8.50766e-12
3370.10,8.24562e-12
3370.20,7.91839e-12
3370.30,7.42251e-12
3370.40,7.19674e-12
3370.50,7.48478e-12
3370.60,7.66826e-12
3370.70,7.30679e-12
3370.80,7.29320e-12
3370.90,7.00709e-12
3371.00,8.08741e-12
3371.10,8.08183e-12
3371.20,8.06828e-12
3371.30,8.51650e-12
3371.40,8.88742e-12
3371.50,7.40884e-12
3371.60,7.74561e-12
3371.70,7.98991e-12
3371.80,7.61077e-12
3371.90,7.20428e-12
3372.00,7.28132e-12
3372.10,7.87915e-12
3372.20,7.73396e-12
3372.30,7.99730e-12
3372.40,7.24056e-12
3372.50,9.44409e-12
3372.60,7.91032e-12
3372.70,7.09653e-12
3372.80,7.26922e-12
3372.90,7.44231e-12
3373.00,7.46097e-12
3373.10,6.86556e-12
3373.20,7.44743e-12
3373.30,7.77241e-12
3373.40,7.56295e-12
3373.50,7.51026e-12
3373.60,7.35923e-12
3373.70,7.73211e-12
3373.80,8.34575e-12
3373.90,7.93199e-12
3374.00,8.01068e-12
3374.10,7.86343e-12
3374.20,7.51717e-12
3374.30,7.77246e-12
3374.40,7.95561e-12
3374.50,7.45431e-12
3374.60,7.96111e-12
3374.70,7.77012e-12
3374.80,7.52326e-12
3374.90,8.45719e-12
3375.00,8.39614e-12
3375.10,8.07518e-12
3375.20,7.60105e-12
3375.30,7.75616e-12
3375.40,8.27652e-12
3375.50,7.98588e-12
3375.60,7.80049e-12
3375.70,8.30688e-12
3375.80,8.99237e-12
3375.90,8.59602e-12
3376.00,8.33078e-12
3376.10,8.28680e-12
3376.20,7.39035e-12
3376.30,6.76604e-12
3376.40,8.12475e-12
3376.50,8.32489e-12
3376.60,7.82565e-12
3376.70,7.00916e-12
3376.80,7.83038e-12
3376.90,8.16139e-12
3377.00,8.13373e-12
3377.10,7.90634e-12
3377.20,8.10996e-12
3377.30,7.85629e-12
3377.40,7.66156e-12
3377.50,7.65593e-12
3377.60,7.72107e-12
3377.70,7.48102e-12
3377.80,7.15188e-12
3377.90,7.55841e-12
3378.00,7.76211e-12
3378.10,8.65443e-12
3378.20,7.72153e-12
3378.30,8.06081e-12
3378.40,7.39770e-12
3378.50,7.36577e-12
3378.60,7.41038e-12
3378.70,7.94087e-12
3378.80,7.41392e-12
3378.90,7.43530e-12
3379.00,7.96627e-12
3379.10,7.60148e-12
3379.20,7.74058e-12
3379.30,7.18223e-12
3379.40,7.80130e-12
3379.50,7.32137e-12
3379.60,7.80375e-12
3379.70,7.67467e-12
3379.80,7.95213e-12
3379.90,8.65489e-12
3380.00,7.61582e-12
3380.10,8.01224e-12
3380.20,8.70788e-12
3380.30,7.76353e-12
3380.40,8.24655e-12
3380.50,7.68478e-12
3380.60,8.29175e-12
3380.70,8.12831e-12
3380.80,8.08266e-12
3380.90,7.73769e-12
3381.00,8.19648e-12
3381.10,7.56740e-12
3381.20,8.16618e-12
3381.30,8.39586e-12
3381.40,7.38529e-12
3381.50,7.43455e-12
3381.60,7.40905e-12
3381.70,7.77225e-12
3381.80,6.89607e-12
3381.90,7.90403e-12
3382.00,8.29251e-12
3382.10,7.85536e-12
3382.20,8.12636e-12
3382.30,8.01427e-12
3382.40,7.04505e-12
3382.50,7.30689e-12
3382.60,7.51686e-12
3382.70,7.84708e-12
3382.80,7.53989e-12
3382.90,7.22922e-12
3383.00,7.43122e-12
3383.10,7.61147e-12
3383.20,7.57031e-12
3383.30,7.42719e-12
3383.40,8.54605e-12
3383.50,7.92106e-12
3383.60,8.05366e-12
3383.70,7.87349e-12
3383.80,7.71736e-12
3383.90,8.34079e-12
3384.00,7.81492e-12
3384.10,7.44522e-12
3384.20,8.08593e-12
3384.30,7.86864e-12
3384.40,8.53467e-12
3384.50,8.29064e-12
3384.60,8.60255e-12
3384.70,8.16589e-12
3384.80,8.09606e-12
3384.90,7.83207e-12
3385.00,7.92617e-12
3385.10,8.02029e-12
3385.20,6.83387e-12
3385.30,7.36449e-12
3385.40,7.89708e-12
3385.50,7.86696e-12
3385.60,7.76572e-12
3385.70,7.98872e-12
3385.80,7.24392e-12
3385.90,7.78469e-12
3386.00,7.81230e-12
3386.10,7.71141e-12
3386.20,7.97386e-12
3386.30,7.23535e-12
3386.40,7.41709e-12
3386.50,7.54492e-12
3386.60,7.89656e-12
3386.70,8.31825e-12
3386.80,7.33543e-12
3386.90,7.61366e-12
3387.00,7.82227e-12
3387.10,8.05808e-12
3387.20,7.82282e-12
3387.30,7.95034e-12
3387.40,6.79951e-12
3387.50,7.16775e-12
3387.60,7.68686e-12
3387.70,7.38910e-12
3387.80,7.69121e-12
3387.90,7.51134e-12
3388.00,7.81924e-12
3388.10,7.47279e-12
3388.20,8.63043e-12
3388.30,7.33236e-12
3388.40,7.44883e-12
3388.50,7.24054e-12
3388.60,7.84575e-12
3388.70,8.11205e-12
3388.80,7.87886e-12
3388.90,7.24187e-12
3389.00,7.54993e-12
3389.10,7.80554e-12
3389.20,8.25659e-12
3389.30,9.18245e-12
3389.40,8.27059e-12
3389.50,8.74014e-12
3389.60,8.37275e-12
3389.70,8.10495e-12
3389.80,6.88465e-12
3389.90,7.78469e-12
3390.00,7.87830e-12
3390.10,7.41069e-12
3390.20,6.95567e-12
3390.30,7.16504e-12
3390.40,7.66966e-12
3390.50,7.63024e-12
3390.60,7.77564e-12
3390.70,8.31567e-12
3390.80,7.78844e-12
3390.90,8.73624e-12
3391.00,8.17369e-12
3391.10,8.02995e-12
3391.20,7.84015e-12
3391.30,7.76235e-12
3391.40,7.70526e-12
3391.50,7.44137e-12
3391.60,7.14099e-12
3391.70,7.39044e-12
3391.80,8.11155e-12
3391.90,8.12891e-12
3392.00,7.42744e-12
3392.10,6.79382e-12
3392.20,6.96350e-12
3392.30,7.62759e-12
3392.40,7.43994e-12
3392.50,7.14478e-12
3392.60,7.27880e-12
3392.70,7.41784e-12
3392.80,6.67721e-12
3392.90,7.58152e-12
3393.00,8.48133e-12
3393.10,7.86084e-12
3393.20,8.14244e-12
3393.30,7.93206e-12
3393.40,7.24959e-12
3393.50,7.15129e-12
3393.60,7.85548e-12
3393.70,8.20131e-12
3393.80,7.73999e-12
3393.90,7.32280e-12
3394.00,8.15012e-12
3394.10,7.53732e-12
3394.20,7.15924e-12
3394.30,7.92520e-12
3394.40,7.82229e-12
3394.50,8.14676e-12
3394.60,8.50509e-12
3394.70,8.26880e-12
3394.80,7.73994e-12
3394.90,7.75885e-12
3395.00,7.60206e-12
